id,date,year,month,state_code,state_name,actual_rainfall_mm,rfs_raw,normal_rainfall_mm,deviation_pct,no_actual_rainfall_reported
2254,2009-03-06,2009,3,35,Andaman And Nicobar Islands,,0.0,0.79,,True
2289,2009-03-07,2009,3,35,Andaman And Nicobar Islands,,0.0,0.89,,True
2324,2009-03-08,2009,3,35,Andaman And Nicobar Islands,,0.0,2.13,,True
2359,2009-03-09,2009,3,35,Andaman And Nicobar Islands,,0.0,2.86,,True
2394,2009-03-10,2009,3,35,Andaman And Nicobar Islands,,0.0,2.3,,True
2429,2009-03-11,2009,3,35,Andaman And Nicobar Islands,,0.0,1.91,,True
2464,2009-03-12,2009,3,35,Andaman And Nicobar Islands,,0.0,1.02,,True
2499,2009-03-13,2009,3,35,Andaman And Nicobar Islands,,0.0,0.89,,True
2534,2009-03-14,2009,3,35,Andaman And Nicobar Islands,,0.0,0.5,,True
2569,2009-03-15,2009,3,35,Andaman And Nicobar Islands,,0.0,0.93,,True
2604,2009-03-16,2009,3,35,Andaman And Nicobar Islands,,0.0,1.28,,True
2639,2009-03-17,2009,3,35,Andaman And Nicobar Islands,,0.0,0.56,,True
2674,2009-03-18,2009,3,35,Andaman And Nicobar Islands,,0.0,1.35,,True
2709,2009-03-19,2009,3,35,Andaman And Nicobar Islands,,0.0,1.25,,True
2744,2009-03-20,2009,3,35,Andaman And Nicobar Islands,,0.0,1.05,,True
2779,2009-03-21,2009,3,35,Andaman And Nicobar Islands,,0.0,1.02,,True
2814,2009-03-22,2009,3,35,Andaman And Nicobar Islands,,0.0,0.79,,True
2849,2009-03-23,2009,3,35,Andaman And Nicobar Islands,,0.0,0.76,,True
2884,2009-03-24,2009,3,35,Andaman And Nicobar Islands,,0.0,0.69,,True
2919,2009-03-25,2009,3,35,Andaman And Nicobar Islands,,0.0,1.12,,True
2954,2009-03-26,2009,3,35,Andaman And Nicobar Islands,,0.0,1.06,,True
2989,2009-03-27,2009,3,35,Andaman And Nicobar Islands,,0.0,1.24,,True
3024,2009-03-28,2009,3,35,Andaman And Nicobar Islands,,0.0,1.05,,True
3059,2009-03-29,2009,3,35,Andaman And Nicobar Islands,,0.0,1.08,,True
3094,2009-03-30,2009,3,35,Andaman And Nicobar Islands,,0.0,1.08,,True
3129,2009-03-31,2009,3,35,Andaman And Nicobar Islands,,0.0,1.31,,True
3164,2009-04-01,2009,4,35,Andaman And Nicobar Islands,,0.0,1.02,,True
3199,2009-04-02,2009,4,35,Andaman And Nicobar Islands,,0.0,0.69,,True
3234,2009-04-03,2009,4,35,Andaman And Nicobar Islands,,0.0,2.45,,True
3269,2009-04-04,2009,4,35,Andaman And Nicobar Islands,,0.0,1.98,,True
3304,2009-04-05,2009,4,35,Andaman And Nicobar Islands,,0.0,0.82,,True
3339,2009-04-06,2009,4,35,Andaman And Nicobar Islands,,0.0,1.48,,True
3374,2009-04-07,2009,4,35,Andaman And Nicobar Islands,,0.0,2.4,,True
3409,2009-04-08,2009,4,35,Andaman And Nicobar Islands,,0.0,2.27,,True
3444,2009-04-09,2009,4,35,Andaman And Nicobar Islands,,0.0,2.5,,True
3479,2009-04-10,2009,4,35,Andaman And Nicobar Islands,,0.0,2.39,,True
3514,2009-04-11,2009,4,35,Andaman And Nicobar Islands,,0.0,1.45,,True
3549,2009-04-12,2009,4,35,Andaman And Nicobar Islands,,0.0,2.74,,True
3584,2009-04-13,2009,4,35,Andaman And Nicobar Islands,,0.0,1.81,,True
3619,2009-04-14,2009,4,35,Andaman And Nicobar Islands,,0.0,1.1,,True
3654,2009-04-15,2009,4,35,Andaman And Nicobar Islands,,0.0,1.08,,True
3689,2009-04-16,2009,4,35,Andaman And Nicobar Islands,,0.0,2.07,,True
3724,2009-04-17,2009,4,35,Andaman And Nicobar Islands,,0.0,3.55,,True
3759,2009-04-18,2009,4,35,Andaman And Nicobar Islands,,0.0,2.44,,True
3794,2009-04-19,2009,4,35,Andaman And Nicobar Islands,,0.0,3.3,,True
3829,2009-04-20,2009,4,35,Andaman And Nicobar Islands,,0.0,3.83,,True
3864,2009-04-21,2009,4,35,Andaman And Nicobar Islands,,0.0,3.39,,True
3899,2009-04-22,2009,4,35,Andaman And Nicobar Islands,,0.0,4.11,,True
3934,2009-04-23,2009,4,35,Andaman And Nicobar Islands,,0.0,2.45,,True
3969,2009-04-24,2009,4,35,Andaman And Nicobar Islands,,0.0,3.63,,True
4004,2009-04-25,2009,4,35,Andaman And Nicobar Islands,,0.0,3.67,,True
4039,2009-04-26,2009,4,35,Andaman And Nicobar Islands,,0.0,3.4,,True
4074,2009-04-27,2009,4,35,Andaman And Nicobar Islands,,0.0,8.39,,True
4109,2009-04-28,2009,4,35,Andaman And Nicobar Islands,,0.0,7.72,,True
4144,2009-04-29,2009,4,35,Andaman And Nicobar Islands,,0.0,6.35,,True
4179,2009-04-30,2009,4,35,Andaman And Nicobar Islands,,0.0,8.43,,True
4214,2009-05-01,2009,5,35,Andaman And Nicobar Islands,,0.0,6.52,,True
4249,2009-05-02,2009,5,35,Andaman And Nicobar Islands,,0.0,8.35,,True
4284,2009-05-03,2009,5,35,Andaman And Nicobar Islands,,0.0,7.77,,True
4319,2009-05-04,2009,5,35,Andaman And Nicobar Islands,,0.0,11.74,,True
4354,2009-05-05,2009,5,35,Andaman And Nicobar Islands,,0.0,9.64,,True
4389,2009-05-06,2009,5,35,Andaman And Nicobar Islands,,0.0,9.48,,True
4424,2009-05-07,2009,5,35,Andaman And Nicobar Islands,,0.0,10.38,,True
4459,2009-05-08,2009,5,35,Andaman And Nicobar Islands,,0.0,5.83,,True
4494,2009-05-09,2009,5,35,Andaman And Nicobar Islands,,0.0,8.91,,True
4529,2009-05-10,2009,5,35,Andaman And Nicobar Islands,,0.0,10.75,,True
4564,2009-05-11,2009,5,35,Andaman And Nicobar Islands,,0.0,8.18,,True
4599,2009-05-12,2009,5,35,Andaman And Nicobar Islands,,0.0,10.58,,True
4634,2009-05-13,2009,5,35,Andaman And Nicobar Islands,,0.0,10.73,,True
4669,2009-05-14,2009,5,35,Andaman And Nicobar Islands,,0.0,10.99,,True
4704,2009-05-15,2009,5,35,Andaman And Nicobar Islands,,0.0,11.53,,True
4739,2009-05-16,2009,5,35,Andaman And Nicobar Islands,,0.0,12.5,,True
4774,2009-05-17,2009,5,35,Andaman And Nicobar Islands,,0.0,12.24,,True
4809,2009-05-18,2009,5,35,Andaman And Nicobar Islands,,0.0,14.28,,True
4844,2009-05-19,2009,5,35,Andaman And Nicobar Islands,,0.0,14.2,,True
4879,2009-05-20,2009,5,35,Andaman And Nicobar Islands,,0.0,12.18,,True
4914,2009-05-21,2009,5,35,Andaman And Nicobar Islands,,0.0,11.88,,True
4949,2009-05-22,2009,5,35,Andaman And Nicobar Islands,,0.0,11.56,,True
4984,2009-05-23,2009,5,35,Andaman And Nicobar Islands,,0.0,13.92,,True
5019,2009-05-24,2009,5,35,Andaman And Nicobar Islands,,0.0,21.03,,True
5054,2009-05-25,2009,5,35,Andaman And Nicobar Islands,,0.0,18.57,,True
5089,2009-05-26,2009,5,35,Andaman And Nicobar Islands,,0.0,16.6,,True
5124,2009-05-27,2009,5,35,Andaman And Nicobar Islands,,0.0,14.02,,True
5159,2009-05-28,2009,5,35,Andaman And Nicobar Islands,,0.0,14.02,,True
5194,2009-05-29,2009,5,35,Andaman And Nicobar Islands,,0.0,13.45,,True
5229,2009-05-30,2009,5,35,Andaman And Nicobar Islands,,0.0,14.35,,True
5264,2009-05-31,2009,5,35,Andaman And Nicobar Islands,,0.0,14.29,,True
